,startTimeLocal,activityName,activityType,distance,duration,averageHR,averageSpeed,pace,date,month,year
26,2025-01-10 10:37:42,Austin Running,running,6.01198632863472,58.622701009114586,150.0,2.750999927520752,9.750970445474614,2025-01-10 10:37:42,1,2025
27,2025-01-08 15:21:37,Austin Running,running,6.027185081500802,62.80979817708333,141.0,2.5739998817443848,10.42108336275669,2025-01-08 15:21:37,1,2025
28,2025-01-07 16:03:56,Austin Running,running,8.034585533704812,81.81068522135416,140.0,2.6340000629425044,10.182315550461333,2025-01-07 16:03:56,1,2025
29,2025-01-06 16:54:04,Austin Running,running,5.2131679854008475,53.41446533203125,145.0,2.618000030517578,10.246066399858039,2025-01-06 16:54:04,1,2025
30,2025-01-06 16:06:07,Austin - 3 x 2 Miles Workout,running,5.3143771039292504,43.39394938151042,160.0,3.2850000858306885,8.165387689448414,2025-01-06 16:06:07,1,2025
31,2025-01-05 16:41:30,Austin Running,running,8.039569258593586,74.97488606770834,147.0,2.875999927520752,9.32573420989773,2025-01-05 16:41:30,1,2025
32,2025-01-04 06:52:54,Austin Running,running,13.03670463318814,123.88031412760417,163.0,2.822999954223633,9.50242546818437,2025-01-04 06:52:54,1,2025
33,2025-01-03 17:32:31,Austin Running,running,8.027999225420048,82.6338134765625,139.0,2.6059999465942383,10.293201476017687,2025-01-03 17:32:31,1,2025
34,2025-01-02 17:31:48,Austin Running,running,8.013738599752072,83.22900390625,137.0,2.582999944686889,10.385789712285465,2025-01-02 17:31:48,1,2025
35,2025-01-01 16:28:39,Austin - 4 x 1.5 Miles Workout,running,11.044247467129383,95.19361979166666,159.0,3.111999988555908,8.61929434984033,2025-01-01 16:28:39,1,2025
36,2024-12-31 16:25:08,Austin Running,running,4.031031233106429,41.55249837239583,138.0,2.6019999980926514,10.308155895972623,2024-12-31 16:25:08,12,2024
37,2024-12-30 17:44:52,Austin Running,running,8.018075465913045,84.65858561197916,134.0,2.539999961853027,10.558467050090156,2024-12-30 17:44:52,12,2024
38,2024-12-29 18:10:31,Austin Running,running,8.030502920646041,83.97744954427084,134.0,2.565000057220459,10.457308885147008,2024-12-29 18:10:31,12,2024
39,2024-12-28 08:00:18,Austin Running,running,16.05988809853729,172.60690104166667,150.0,2.496000051498413,10.747702598088928,2024-12-28 08:00:18,12,2024
